Timestamp,User ID,IP Address,Action,Page URL,Response Time (ms),Status
2025-01-22 12:33:01,8575,130.32.45.225,Payment,/settings,73,Success
2025-01-19 17:50:11,6704,112.116.139.68,Logout,/transactions,1969,Success
2025-01-27 10:18:43,8378,44.240.18.211,View Page,/help,1293,Failed
2025-01-03 08:14:20,3584,132.65.150.50,Download File,/reports,698,Failed
2025-01-16 10:21:16,5404,10.53.237.29,Payment,/reports,785,Timeout
2025-01-08 12:25:07,6328,161.76.159.1,View Page,/profile,904,Timeout
2025-01-15 01:50:55,7855,182.140.0.160,Upload File,/help,1543,Timeout
2025-01-02 23:57:44,1465,142.251.194.62,Upload File,/dashboard,1991,Timeout
2025-01-03 09:36:47,5906,29.200.170.253,Download File,/transactions,947,Timeout
2025-01-16 22:41:17,8404,190.126.165.234,Upload File,/reports,1408,Timeout
2025-01-26 13:30:54,2700,62.25.183.134,Logout,/reports,1253,Failed
2025-01-22 20:57:11,8480,52.188.7.23,Logout,/help,1191,Success
2025-01-23 19:08:46,4704,152.113.181.164,Payment,/home,99,Timeout
2025-01-18 05:49:38,5353,139.145.96.153,Logout,/help,908,Success
2025-01-30 14:29:04,2975,31.28.152.64,Logout,/help,299,Failed
2025-01-17 02:24:41,4464,67.41.192.132,Payment,/transactions,717,Timeout
2025-01-13 14:01:09,8701,63.37.169.233,API Request,/dashboard,429,Timeout
2025-01-16 13:42:23,9560,118.37.136.125,View Page,/reports,1622,Failed
2025-01-11 09:35:21,1832,144.116.11.189,Login,/profile,60,Timeout
2025-01-07 12:00:24,2378,105.54.150.190,Download File,/dashboard,1385,Success
2025-01-29 15:50:12,8693,134.240.202.75,Payment,/settings,458,Failed
2025-01-21 15:43:52,6263,163.176.253.237,Payment,/transactions,1642,Timeout
2025-01-16 19:44:38,7629,132.100.26.119,Logout,/transactions,1179,Failed
2025-01-16 03:55:03,6581,19.123.246.254,Payment,/transactions,293,Failed
2025-01-09 21:24:01,9039,175.135.145.104,Login,/reports,791,Timeout
2025-01-02 16:45:13,5772,165.34.167.4,Login,/profile,1482,Failed
2025-01-30 07:19:29,1912,53.186.78.67,Upload File,/transactions,1089,Failed
2025-01-09 04:22:47,1465,33.175.139.183,Upload File,/reports,820,Timeout
2025-01-19 15:37:44,9435,200.57.26.184,Logout,/transactions,102,Success
2025-01-10 12:08:16,8902,186.230.101.244,Payment,/transactions,1061,Success
2025-01-05 03:44:47,8048,94.231.13.173,Download File,/reports,1678,Timeout
2025-01-11 20:51:50,3017,90.160.19.141,API Request,/help,523,Success
2025-01-01 02:59:54,5781,164.209.122.128,Download File,/help,50,Timeout
